
year; month; day; hour; minute; second; latDirection; lonDirection; latitude; longitude; latDegree; lonDegree; depth; high; starID; sog; cog
2024; 10; 13; 9; 35; 26; E; N; 5001.967800; 1959.689000; 50.032799; 19.994816; 97; 199.69; 11; 0.00; 0.00
2024; 10; 13; 9; 35; 30; E; N; 5001.967800; 1959.689000; 50.032799; 19.994816; 99; 199.69; 11; 0.00; 0.00
2024; 10; 13; 9; 35; 34; E; N; 5001.967800; 1959.689000; 50.032799; 19.994816; 95; 199.80; 11; 0.00; 0.00
2024; 10; 13; 9; 35; 38; E; N; 5001.967800; 1959.688800; 50.032799; 19.994816; -1853; 199.80; 11; 0.00; 0.00
2024; 10; 13; 9; 35; 42; E; N; 5001.967800; 1959.688700; 50.032795; 19.994812; 95; 201.30; 11; 0.00; 0.00
2024; 10; 13; 9; 35; 47; E; N; 5001.964800; 1959.688600; 50.032745; 19.994810; 96; 201.59; 11; 0.00; 0.00
2024; 10; 13; 9; 35; 51; E; N; 5001.961900; 1959.688200; 50.032700; 19.994804; 99; 200.90; 11; 0.00; 0.00
2024; 10; 13; 9; 35; 55; E; N; 5001.960000; 1959.688800; 50.032669; 19.994814; 136; 199.80; 11; 0.00; 0.00
2024; 10; 13; 9; 35; 59; E; N; 5001.960000; 1959.689900; 50.032665; 19.994833; 104; 198.50; 11; 0.00; 0.00
2024; 10; 13; 9; 36; 3; E; N; 5001.960000; 1959.690200; 50.032661; 19.994837; 95; 198.50; 11; 0.00; 0.00
2024; 10; 13; 9; 36; 7; E; N; 5001.960000; 1959.690300; 50.032665; 19.994839; 94; 198.50; 11; 0.00; 0.00
2024; 10; 13; 9; 36; 11; E; N; 5001.960000; 1959.690300; 50.032665; 19.994839; 99; 198.40; 11; 0.00; 0.00
2024; 10; 13; 9; 36; 15; E; N; 5001.960000; 1959.690300; 50.032665; 19.994839; 95; 198.30; 11; 0.00; 0.00
2024; 10; 13; 9; 36; 19; E; N; 5001.960000; 1959.690300; 50.032665; 19.994839; 98; 198.30; 11; 0.00; 0.00
2024; 10; 13; 9; 36; 23; E; N; 5001.960000; 1959.690300; 50.032661; 19.994839; 95; 198.30; 11; 0.00; 0.00
2024; 10; 13; 9; 36; 27; E; N; 5001.959500; 1959.690200; 50.032661; 19.994837; 106; 198.30; 11; 0.00; 0.00
2024; 10; 13; 9; 36; 31; E; N; 5001.959500; 1959.690300; 50.032661; 19.994839; 95; 198.19; 11; 0.00; 0.00
2024; 10; 13; 9; 36; 36; E; N; 5001.959500; 1959.690300; 50.032661; 19.994839; 104; 198.19; 11; 0.00; 0.00
2024; 10; 13; 9; 36; 40; E; N; 5001.959500; 1959.690300; 50.032661; 19.994839; 105; 198.30; 10; 0.00; 0.00
2024; 10; 13; 9; 36; 44; E; N; 5001.959500; 1959.690300; 50.032661; 19.994839; 98; 198.30; 11; 0.00; 0.00
2024; 10; 13; 9; 36; 48; E; N; 5001.959500; 1959.690300; 50.032661; 19.994839; 103; 198.30; 11; 0.00; 0.00
2024; 10; 13; 9; 36; 52; E; N; 5001.960000; 1959.690300; 50.032661; 19.994839; 105; 198.19; 11; 0.00; 0.00
2024; 10; 13; 9; 36; 56; E; N; 5001.960000; 1959.690300; 50.032661; 19.994839; 97; 198.19; 11; 0.00; 0.00
2024; 10; 13; 9; 37; 0; E; N; 5001.960000; 1959.690200; 50.032665; 19.994837; 98; 198.19; 11; 0.00; 0.00
2024; 10; 13; 9; 37; 4; E; N; 5001.960000; 1959.690200; 50.032665; 19.994837; -1853; 198.09; 11; 0.00; 0.00
2024; 10; 13; 9; 37; 8; E; N; 5001.960000; 1959.690200; 50.032665; 19.994837; 96; 198.00; 10; 0.00; 0.00
2024; 10; 13; 9; 37; 12; E; N; 5001.960000; 1959.690200; 50.032665; 19.994837; 94; 198.00; 10; 0.00; 0.00
2024; 10; 13; 9; 37; 16; E; N; 5001.960000; 1959.690200; 50.032661; 19.994837; 94; 198.00; 10; 0.00; 0.00
2024; 10; 13; 9; 37; 21; E; N; 5001.960000; 1959.690200; 50.032661; 19.994837; 98; 198.00; 11; 0.00; 0.00
2024; 10; 13; 9; 37; 25; E; N; 5001.960000; 1959.690200; 50.032661; 19.994837; 98; 198.00; 11; 0.00; 0.00
2024; 10; 13; 9; 37; 29; E; N; 5001.959500; 1959.690200; 50.032661; 19.994837; 99; 198.00; 11; 0.00; 0.00
2024; 10; 13; 9; 37; 33; E; N; 5001.959500; 1959.690200; 50.032661; 19.994837; 96; 197.90; 11; 0.00; 0.00
2024; 10; 13; 9; 37; 37; E; N; 5001.959500; 1959.690200; 50.032661; 19.994837; 102; 197.90; 11; 0.00; 0.00
