year; month; day; hour; minute; second; latDirection; lonDirection; latitude; longitude; latDegree; lonDegree; depth; high; starID; sog; cog
2024; 10; 13; 8; 50; 38; E; N; 5001.960000; 1959.681400; 50.032665; 19.994690; 96; 215.09; 8; 0.00; 0.00
2024; 10; 13; 8; 50; 42; E; N; 5001.960400; 1959.681500; 50.032669; 19.994694; 94; 214.80; 8; 0.00; 0.00
2024; 10; 13; 8; 50; 46; E; N; 5001.960400; 1959.681900; 50.032673; 19.994698; 98; 214.69; 8; 0.00; 0.00
2024; 10; 13; 8; 50; 50; E; N; 5001.960400; 1959.682100; 50.032673; 19.994701; 96; 214.59; 8; 0.00; 0.00
2024; 10; 13; 8; 50; 54; E; N; 5001.960400; 1959.682300; 50.032677; 19.994705; 95; 214.40; 8; 0.00; 0.00
2024; 10; 13; 8; 50; 58; E; N; 5001.960400; 1959.682500; 50.032677; 19.994707; 95; 214.19; 9; 0.00; 0.00
2024; 10; 13; 8; 51; 2; E; N; 5001.960400; 1959.682600; 50.032677; 19.994711; -1857; 213.80; 9; 0.00; 0.00
2024; 10; 13; 8; 51; 6; E; N; 5001.960900; 1959.682700; 50.032681; 19.994713; 117; 213.30; 9; 0.00; 0.00
2024; 10; 13; 8; 51; 10; E; N; 5001.960400; 1959.684400; 50.032677; 19.994740; 96; 212.69; 9; 0.00; 0.00
2024; 10; 13; 8; 51; 14; E; N; 5001.960400; 1959.684600; 50.032669; 19.994741; 97; 212.40; 9; 0.00; 0.00
2024; 10; 13; 8; 51; 19; E; N; 5001.960400; 1959.684400; 50.032673; 19.994740; 98; 212.30; 9; 0.00; 0.00
2024; 10; 13; 8; 51; 23; E; N; 5001.960400; 1959.684300; 50.032673; 19.994738; 94; 212.09; 9; 0.00; 0.00
2024; 10; 13; 8; 51; 27; E; N; 5001.960400; 1959.684200; 50.032673; 19.994738; 95; 211.80; 9; 0.00; 0.00
2024; 10; 13; 8; 51; 31; E; N; 5001.960400; 1959.684100; 50.032677; 19.994736; 96; 211.59; 9; 0.00; 0.00
2024; 10; 13; 8; 51; 35; E; N; 5001.960400; 1959.684000; 50.032673; 19.994734; 95; 211.50; 9; 0.00; 0.00
2024; 10; 13; 8; 51; 39; E; N; 5001.960400; 1959.683700; 50.032677; 19.994730; 97; 211.40; 9; 0.00; 0.00
2024; 10; 13; 8; 51; 43; E; N; 5001.960400; 1959.683600; 50.032677; 19.994728; 97; 211.40; 9; 0.00; 0.00
2024; 10; 13; 8; 51; 47; E; N; 5001.960400; 1959.683600; 50.032677; 19.994726; 97; 211.40; 9; 0.00; 0.00
2024; 10; 13; 8; 51; 51; E; N; 5001.960400; 1959.683500; 50.032677; 19.994726; 96; 211.50; 9; 0.00; 0.00
2024; 10; 13; 8; 51; 55; E; N; 5001.960400; 1959.683500; 50.032677; 19.994724; 95; 211.59; 9; 0.00; 0.00
2024; 10; 13; 8; 51; 59; E; N; 5001.960400; 1959.683500; 50.032677; 19.994724; 98; 211.59; 9; 0.00; 0.00
2024; 10; 13; 8; 52; 3; E; N; 5001.960400; 1959.683300; 50.032677; 19.994724; 97; 211.59; 9; 0.00; 0.00
2024; 10; 13; 8; 52; 8; E; N; 5001.960400; 1959.683300; 50.032677; 19.994724; 94; 211.69; 9; 0.00; 0.00
2024; 10; 13; 8; 52; 12; E; N; 5001.960400; 1959.683300; 50.032677; 19.994724; 98; 211.59; 9; 0.00; 0.00
2024; 10; 13; 8; 52; 16; E; N; 5001.960400; 1959.683300; 50.032677; 19.994722; 98; 211.59; 9; 0.00; 0.00
2024; 10; 13; 8; 52; 20; E; N; 5001.960400; 1959.683300; 50.032673; 19.994722; 94; 211.59; 9; 0.00; 0.00
2024; 10; 13; 8; 52; 24; E; N; 5001.960400; 1959.683300; 50.032673; 19.994722; 94; 211.59; 9; 0.00; 0.00
2024; 10; 13; 8; 52; 28; E; N; 5001.960400; 1959.683300; 50.032673; 19.994722; 93; 211.59; 9; 0.00; 0.00
2024; 10; 13; 8; 52; 32; E; N; 5001.960400; 1959.683300; 50.032673; 19.994722; 95; 211.59; 9; 0.00; 0.00
2024; 10; 13; 8; 52; 36; E; N; 5001.960400; 1959.683500; 50.032673; 19.994724; -1858; 211.50; 9; 0.00; 0.00
2024; 10; 13; 8; 52; 40; E; N; 5001.960400; 1959.683200; 50.032673; 19.994722; -1853; 211.50; 9; 0.00; 0.00
2024; 10; 13; 8; 52; 44; E; N; 5001.959500; 1959.683100; 50.032654; 19.994719; 95; 211.30; 9; 0.00; 0.00
2024; 10; 13; 8; 52; 48; E; N; 5001.959000; 1959.683200; 50.032650; 19.994720; 95; 211.19; 9; 0.00; 0.00
2024; 10; 13; 8; 52; 53; E; N; 5001.959000; 1959.683100; 50.032650; 19.994719; 98; 211.19; 9; 0.00; 0.00
2024; 10; 13; 8; 52; 57; E; N; 5001.959000; 1959.683100; 50.032650; 19.994719; 97; 211.09; 9; 0.00; 0.00
2024; 10; 13; 8; 53; 1; E; N; 5001.959000; 1959.683100; 50.032650; 19.994719; 95; 211.00; 9; 0.00; 0.00
2024; 10; 13; 8; 53; 5; E; N; 5001.959000; 1959.683100; 50.032650; 19.994719; 98; 211.19; 9; 0.00; 0.00
2024; 10; 13; 8; 53; 9; E; N; 5001.959000; 1959.683000; 50.032646; 19.994717; 94; 211.40; 9; 0.00; 0.00
2024; 10; 13; 8; 53; 13; E; N; 5001.959000; 1959.682900; 50.032646; 19.994715; 99; 211.50; 9; 0.00; 0.00
2024; 10; 13; 8; 53; 17; E; N; 5001.959000; 1959.682900; 50.032646; 19.994713; 94; 211.50; 9; 0.00; 0.00
2024; 10; 13; 8; 53; 21; E; N; 5001.959000; 1959.682900; 50.032646; 19.994715; 97; 211.40; 9; 0.00; 0.00
2024; 10; 13; 8; 53; 25; E; N; 5001.958500; 1959.682900; 50.032646; 19.994715; 97; 211.50; 9; 0.00; 0.00
2024; 10; 13; 8; 53; 29; E; N; 5001.958500; 1959.683000; 50.032646; 19.994717; 97; 211.59; 10; 0.00; 0.00
2024; 10; 13; 8; 53; 33; E; N; 5001.958500; 1959.683000; 50.032646; 19.994717; 95; 211.50; 10; 0.00; 0.00
2024; 10; 13; 8; 53; 38; E; N; 5001.958500; 1959.683100; 50.032646; 19.994719; 94; 211.50; 10; 0.00; 0.00
2024; 10; 13; 8; 53; 42; E; N; 5001.958500; 1959.683100; 50.032642; 19.994719; 94; 211.50; 10; 0.00; 0.00
2024; 10; 13; 8; 53; 46; E; N; 5001.958500; 1959.683000; 50.032642; 19.994717; -1855; 211.50; 10; 0.00; 0.00
2024; 10; 13; 8; 53; 50; E; N; 5001.958500; 1959.683000; 50.032646; 19.994717; -1858; 211.59; 10; 0.00; 0.00
2024; 10; 13; 8; 53; 54; E; N; 5001.958000; 1959.683100; 50.032631; 19.994720; -1855; 211.59; 10; 0.00; 0.00
2024; 10; 13; 8; 53; 58; E; N; 5001.957500; 1959.683200; 50.032627; 19.994720; 117; 211.40; 10; 0.00; 0.00
2024; 10; 13; 8; 54; 2; E; N; 5001.958000; 1959.683800; 50.032631; 19.994732; 133; 211.19; 10; 0.00; 0.00
2024; 10; 13; 8; 54; 6; E; N; 5001.958000; 1959.684000; 50.032631; 19.994734; 133; 211.09; 10; 0.00; 0.00
2024; 10; 13; 8; 54; 10; E; N; 5001.957500; 1959.683800; 50.032627; 19.994730; 132; 211.00; 10; 0.00; 0.00
2024; 10; 13; 8; 54; 14; E; N; 5001.957500; 1959.683600; 50.032627; 19.994726; 133; 210.90; 10; 0.00; 0.00
2024; 10; 13; 8; 54; 18; E; N; 5001.957500; 1959.683600; 50.032623; 19.994726; 132; 210.69; 10; 0.00; 0.00
2024; 10; 13; 8; 54; 23; E; N; 5001.957000; 1959.683600; 50.032619; 19.994726; 132; 210.50; 10; 0.00; 0.00
2024; 10; 13; 8; 54; 27; E; N; 5001.957000; 1959.683800; 50.032619; 19.994730; 131; 210.19; 10; 0.00; 0.00
